suite,scene_raw,scene,planner_raw,planner_public,run_id,source_log_id,benchmark_seed,target_cost,time_limit_s,status_code,status_label,solved,exact,approximate,final_time_s,final_cost,final_cost_normalized,target_hit,target_time_s,first_solution_time_s,first_solution_cost,progress_available
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,36,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.90036,697.637,0.87204625,true,6.90036,6.90036,697.637,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,37,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,2.89786,644.105,0.80513125,true,2.89786,2.89786,644.105,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,38,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,12.7637,666.891,0.83361375,true,12.7637,12.7637,666.891,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,39,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,7.38179,521.182,0.6514775,true,7.38179,7.38179,521.182,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,40,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,3.988,552.472,0.69059,true,3.988,3.988,552.472,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,41,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,4.25107,725.362,0.9067025,true,4.25107,4.25107,725.362,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,42,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,3.77927,647.739,0.80967375,true,3.77927,3.77927,647.739,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,43,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,14.1182,730.174,0.9127175,true,14.1182,14.1182,730.174,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,44,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,7.56933,602.549,0.75318625,true,7.56933,7.56933,602.549,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,45,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,26.4698,581.437,0.72679625,true,26.4698,26.4698,581.437,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,46,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,9.59502,682.624,0.85328,true,9.59502,9.59502,682.624,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,47,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,2.46865,512.008,0.64001,true,2.46865,2.46865,512.008,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,48,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,18.4037,601.722,0.7521525,true,18.4037,18.4037,601.722,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,49,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.53294,648.743,0.81092875,true,6.53294,6.53294,648.743,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,50,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,11.8737,838.609,1.04826125,false,,11.8737,838.609,false
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,1,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,3.43769,744.246325,0.93030790625,true,2.98101,2.98101,744.388914,true
